stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description,relevance,matched_filters,data_status,downloaded_rows,api_total_number,values_file,request_meta_file,metadata_file,notes
0000033352,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00602,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、従業地・通学地による人口（３B）、１５歳以上就業者数 （常住地）全国・人口１０万以上の市,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,301263,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033352.json,no railway classification filter was found
0000033351,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00601,配偶関係（４）、男女（３）、１５歳以上年齢（５歳階級１９）、常住地による人口（５）、１５歳以上就業者数 （常住地）全国・人口１０万以上の市,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,578102,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033351.json,no railway classification filter was found
0000033349,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00501,通勤・通学者数（２）、１５歳以上自宅外就業者・通学者数 （常住地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,10163,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033349.json,no railway classification filter was found
0000033355,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00801,産業（大分類１５）、１５歳以上就業者数 （常住地）人口２０万以上の市、従業地・通学地（５Ｃ）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,28402,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033355.json,no railway classification filter was found
0000033347,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00306,男女（３）、通勤・通学者数（２）、１５歳以上就業者数・１５歳以上通学者数 （従業地）市区町村、（常住地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,2593978,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033347.json,no railway classification filter was found
0000033357,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00901,産業（大分類１５）、１５歳以上就業者数 （従業地）人口２０万以上の市、常住地（５Ｃ）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,28175,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033357.json,no railway classification filter was found
0000033356,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00802,産業（大分類１５）、１５歳以上就業者数 （常住地）人口２０万以上の市、（従通地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,192685,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033356.json,no railway classification filter was found
0000033353,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00701,産業（大分類１５）、常住地による人口（５）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,237558,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033353.json,no railway classification filter was found
0000033350,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00502,１５歳以上自宅外就業者・通学者数 （常住地）都道府県・市区町村、（従業地）市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,131654,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033350.json,no railway classification filter was found
0000033354,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00702,産業（大分類１５）、従業地・通学地による人口（３B）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,117674,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033354.json,no railway classification filter was found
0000033359,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,010,従業上の地位（５）、男女（３）、１５歳以上年齢（５歳階級１６）、産業（大分類１５）、１５歳以上就業者数 （従業地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,6783769,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033359.json,no railway classification filter was found
0000033358,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00902,産業（大分類１５）、１５歳以上就業者数 （従業地）人口２０万以上の市、（常住地）都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,254453,該当なし,0,,skipped_no_railway_filter,[],metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000033358.json,no railway classification filter was found
